x,y,v_x,v_y
5.2508989611e+12,0.0,0.0,909.686903796
5.25089894313e+12,78596948.3983,-0.415874916466,909.686900683
5.25089888924e+12,157193896.259,-0.831749838343,909.686891346
5.25089879941e+12,235790843.044,-1.24762477105,909.686875784
5.25089867365e+12,314387788.215,-1.66349971998,909.686853996
5.25089851196e+12,392984731.235,-2.07937469057,909.686825984
5.25089831433e+12,471581671.566,-2.49524968822,909.686791747
5.25089808078e+12,550178608.67,-2.91112471834,909.686751285
5.25089781129e+12,628775542.009,-3.32699978634,909.686704598
5.25089750587e+12,707372471.045,-3.74287489764,909.686651686
5.25089716452e+12,785969395.241,-4.15875005765,909.686592549
5.25089678724e+12,864566314.058,-4.57462527178,909.686527187
5.25089637402e+12,943163226.959,-4.99050054544,909.6864556
5.25089592488e+12,1021760133.41,-5.40637588405,909.686377789
5.2508954398e+12,1100357032.86,-5.82225129302,909.686293752
5.25089491879e+12,1178953924.79,-6.23812677775,909.68620349
5.25089436185e+12,1257550808.65,-6.65400234367,909.686107003
5.25089376898e+12,1336147683.9,-7.06987799618,909.686004292
5.25089314018e+12,1414744550.01,-7.4857537407,909.685895355
5.25089247544e+12,1493341406.44,-7.90162958263,909.685780194
5.25089177478e+12,1571938252.65,-8.3175055274,909.685658807
5.25089103818e+12,1650535088.1,-8.7333815804,909.685531195
5.25089026565e+12,1729131912.26,-9.14925774706,909.685397359
5.25088945719e+12,1807728724.58,-9.56513403279,909.685257297
5.25088861279e+12,1886325524.54,-9.981010443,909.68511101
5.25088773247e+12,1964922311.59,-10.3968869831,909.684958499
5.25088681621e+12,2043519085.19,-10.8127636585,909.684799762
5.25088586402e+12,2122115844.81,-11.2286404746,909.6846348
5.2508848759e+12,2200712589.9,-11.6445174369,909.684463613
5.25088385185e+12,2279309319.94,-12.0603945506,909.684286201
5.25088279187e+12,2357906034.38,-12.4762718214,909.684102565
5.25088169595e+12,2436502732.68,-12.8921492545,909.683912702
5.2508805641e+12,2515099414.31,-13.3080268553,909.683716615
5.25087939632e+12,2593696078.74,-13.7239046294,909.683514303
5.25087819261e+12,2672292725.41,-14.1397825821,909.683305766
5.25087695297e+12,2750889353.79,-14.5556607188,909.683091003
5.2508756774e+12,2829485963.35,-14.9715390449,909.682870016
5.25087436589e+12,2908082553.55,-15.3874175658,909.682642803
5.25087301845e+12,2986679123.85,-15.803296287,909.682409365
5.25087163508e+12,3065275673.71,-16.2191752139,909.682169702
5.25087021578e+12,3143872202.6,-16.6350543518,909.681923814
5.25086876054e+12,3222468709.97,-17.0509337062,909.6816717
5.25086726937e+12,3301065195.29,-17.4668132825,909.681413362
5.25086574228e+12,3379661658.02,-17.8826930862,909.681148798
5.25086417925e+12,3458258097.62,-18.2985731225,909.680878009
5.25086258028e+12,3536854513.56,-18.714453397,909.680600994
5.25086094539e+12,3615450905.29,-19.130333915,909.680317755
5.25085927456e+12,3694047272.29,-19.5462146821,909.68002829
5.2508575678e+12,3772643614.0,-19.9620957034,909.679732599
5.25085582511e+12,3851239929.9,-20.3779769846,909.679430684
5.25085404649e+12,3929836219.44,-20.793858531,909.679122543
5.25085223193e+12,4008432482.1,-21.2097403479,909.678808177
5.25085038144e+12,4087028717.32,-21.625622441,909.678487585
5.25084849502e+12,4165624924.57,-22.0415048154,909.678160768
5.25084657267e+12,4244221103.32,-22.4573874767,909.677827726
5.25084461439e+12,4322817253.02,-22.8732704302,909.677488458
5.25084262017e+12,4401413373.14,-23.2891536815,909.677142965
5.25084059002e+12,4480009463.15,-23.7050372358,909.676791246
5.25083852394e+12,4558605522.49,-24.1209210986,909.676433302
5.25083642193e+12,4637201550.64,-24.5368052753,909.676069133
5.25083428398e+12,4715797547.06,-24.9526897714,909.675698737
5.2508321101e+12,4794393511.21,-25.3685745922,909.675322117
5.25082990029e+12,4872989442.54,-25.7844597431,909.674939271
5.25082765455e+12,4951585340.53,-26.2003452297,909.674550199
5.25082537287e+12,5030181204.64,-26.6162310572,909.674154902
5.25082305526e+12,5108777034.32,-27.032117231,909.673753379
5.25082070172e+12,5187372829.04,-27.4480037567,909.67334563
5.25081831225e+12,5265968588.27,-27.8638906396,909.672931656
5.25081588684e+12,5344564311.45,-28.2797778852,909.672511456
5.2508134255e+12,5423159998.07,-28.6956654987,909.672085031
5.25081092823e+12,5501755647.57,-29.1115534858,909.671652379
5.25080839503e+12,5580351259.42,-29.5274418517,909.671213502
5.25080582589e+12,5658946833.08,-29.9433306018,909.670768399
5.25080322082e+12,5737542368.02,-30.3592197417,909.670317071
5.25080057981e+12,5816137863.69,-30.7751092767,909.669859517
5.25079790288e+12,5894733319.56,-31.1909992122,909.669395736
5.25079519001e+12,5973328735.09,-31.6068895536,909.66892573
5.25079244121e+12,6051924109.75,-32.0227803064,909.668449498
5.25078965647e+12,6130519442.99,-32.4386714759,909.667967041
5.25078683581e+12,6209114734.27,-32.8545630677,909.667478357
5.25078397921e+12,6287709983.07,-33.270455087,909.666983447
5.25078108667e+12,6366305188.84,-33.6863475393,909.666482311
5.2507781582e+12,6444900351.03,-34.10224043,909.66597495
5.2507751938e+12,6523495469.13,-34.5181337645,909.665461362
5.25077219347e+12,6602090542.58,-34.9340275483,909.664941548
5.2507691572e+12,6680685570.85,-35.3499217867,909.664415508
5.250766085e+12,6759280553.4,-35.7658164852,909.663883242
5.25076297687e+12,6837875489.69,-36.1817116492,909.66334475
5.2507598328e+12,6916470379.19,-36.5976072841,909.662800031
5.2507566528e+12,6995065221.36,-37.0135033953,909.662249087
5.25075343687e+12,7073660015.65,-37.4293999882,909.661691916
5.250750185e+12,7152254761.54,-37.8452970682,909.661128519
5.2507468972e+12,7230849458.48,-38.2611946408,909.660558896
5.25074357347e+12,7309444105.94,-38.6770927113,909.659983046
5.2507402138e+12,7388038703.37,-39.0929912853,909.65940097
5.2507368182e+12,7466633250.25,-39.508890368,909.658812667
5.25073338667e+12,7545227746.02,-39.9247899649,909.658218139
5.2507299192e+12,7623822190.16,-40.3406900814,909.657617383
5.25072641579e+12,7702416582.13,-40.756590723,909.657010401
5.25072287646e+12,7781010921.38,-41.172491895,909.656397193
5.25071930119e+12,7859605207.38,-41.5883936029,909.655777758
5.25071568998e+12,7938199439.6,-42.004295852,909.655152097
5.25071204285e+12,8016793617.49,-42.4201986478,909.654520209
5.25070835977e+12,8095387740.51,-42.8361019958,909.653882094
5.25070464077e+12,8173981808.13,-43.2520059012,909.653237753
5.25070088583e+12,8252575819.82,-43.6679103696,909.652587185
5.25069709495e+12,8331169775.02,-44.0838154063,909.65193039
5.25069326814e+12,8409763673.21,-44.4997210168,909.651267369
5.2506894054e+12,8488357513.84,-44.9156272064,909.65059812
5.25068550672e+12,8566951296.38,-45.3315339807,909.649922645
5.25068157211e+12,8645545020.3,-45.7474413449,909.649240943
5.25067760157e+12,8724138685.04,-46.1633493046,909.648553014
5.25067359508e+12,8802732290.08,-46.5792578651,909.647858858
5.25066955267e+12,8881325834.87,-46.9951670318,909.647158475
5.25066547432e+12,8959919318.88,-47.4110768102,909.646451865
5.25066136004e+12,9038512741.57,-47.8269872056,909.645739028
5.25065720982e+12,9117106102.41,-48.2428982236,909.645019964
5.25065302366e+12,9195699400.84,-48.6588098694,909.644294672
5.25064880157e+12,9274292636.35,-49.0747221486,909.643563154
5.25064454355e+12,9352885808.38,-49.4906350665,909.642825408
5.25064024959e+12,9431478916.4,-49.9065486285,909.642081435
5.2506359197e+12,9510071959.87,-50.3224628402,909.641331235
5.25063155387e+12,9588664938.26,-50.7383777067,909.640574807
5.25062715211e+12,9667257851.02,-51.1542932337,909.639812152
5.25062271441e+12,9745850697.62,-51.5702094265,909.63904327
5.25061824078e+12,9824443477.52,-51.9861262905,909.63826816
5.25061373121e+12,9903036190.18,-52.4020438311,909.637486823
5.2506091857e+12,9981628835.06,-52.8179620538,909.636699258
5.25060460426e+12,10060221411.6,-53.233880964,909.635905465
5.25059998689e+12,10138813919.3,-53.649800567,909.635105445
5.25059533358e+12,10217406357.7,-54.0657208684,909.634299198
5.25059064433e+12,10295998726.1,-54.4816418734,909.633486722
5.25058591915e+12,10374591024.0,-54.8975635876,909.632668019
